sequence_ID	prediction
AE015924.1_from_474378_to_1146462_total_672085_60	EC:3.4.22.37
AE015924.1_from_1191631_to_1305604_total_113974_59	EC:2.3.1.47
AE015924.1_from_1665972_to_2079147_total_413176_220	EC:3.4.22.47
CP002689.1_from_13_to_2186368_total_2186356_563	EC:1.3.8.1
CP015238.2_from_170519_to_173609_total_3091_1	EC:4.4.1.13
CP015238.2_from_804043_to_809733_total_5691_5	EC:3.6.5.n1
CP002029.1_from_327772_to_329536_total_1765_4	EC:2.3.1.275
CP002029.1_from_570110_to_571320_total_1211_2	EC:7.3.2.1
CP002029.1_from_1097742_to_1098230_total_489_1	EC:2.3.1.203
AL732656.1_from_1_to_2211482_total_2211482_905	EC:3.1.-.-;EC:3.6.4.12
AL732656.1_from_1_to_2211482_total_2211482_1261	EC:2.5.1.101
AL732656.1_from_1_to_2211482_total_2211482_1295	EC:4.2.2.1
AL732656.1_from_1_to_2211482_total_2211482_1566	EC:3.4.11.-
AL732656.1_from_1_to_2211482_total_2211482_1727	EC:2.7.1.121
CP009226.1_from_2_to_1776391_total_1776390_74	EC:1.2.1.21;EC:1.2.1.22
CP009226.1_from_2_to_1776391_total_1776390_664	EC:2.3.2.29
CP005388.1_from_3_to_1636027_total_1636025_1094	EC:2.4.1.290
CP005388.1_from_3_to_1636027_total_1636025_1099	EC:7.5.2.5
CP005388.1_from_3_to_1636027_total_1636025_1264	EC:2.6.1.92
CP005388.1_from_3_to_1636027_total_1636025_1299	EC:2.5.1.101
CP005388.1_from_3_to_1636027_total_1636025_1397	EC:2.7.3.13
CP005388.1_from_3_to_1636027_total_1636025_1506	EC:7.3.2.6
CP008695.1_from_710225_to_711029_total_805_1	EC:7.2.4.5
CP008695.1_from_804091_to_809973_total_5883_4	EC:3.6.5.n1
CP008695.1_from_1326114_to_1340052_total_13939_10	EC:4.4.1.13
AE016827.1_from_370890_to_371039_total_150_1	EC:2.3.1.54
AE016827.1_from_643107_to_644177_total_1071_1	EC:4.1.2.20
AE016827.1_from_1829271_to_1829764_total_494_2	EC:2.1.1.177
CP010470.1_from_1025223_to_1029077_total_3855_2	EC:2.4.1.290
CP010470.1_from_1029132_to_1035904_total_6773_4	EC:7.5.2.5
CP010470.1_from_1194985_to_1202463_total_7479_4	EC:2.6.1.92
CP010470.1_from_1413687_to_1424230_total_10544_5	EC:7.3.2.6
CP010470.1_from_1568316_to_1573173_total_4858_6	EC:2.1.1.182
AM295007.1_from_150309_to_160069_total_9761_9	EC:4.4.1.13
AM295007.1_from_991771_to_1004193_total_12423_6	EC:3.6.5.n1
CP007041.1_from_10_to_1892111_total_1892102_142	EC:4.4.1.13
CP007041.1_from_10_to_1892111_total_1892102_468	EC:3.1.21.1
CP017952.1_from_771913_to_772372_total_460_1	EC:4.2.1.46
CP017952.1_from_1254471_to_1257451_total_2981_4	EC:6.1.1.22
AP010935.1_from_1081445_to_1083252_total_1808_2	EC:3.1.21.1
CP015107.1_from_2601884_to_2602712_total_829_1	EC:2.4.2.18
CP009148.1_from_1053530_to_1059373_total_5844_1	EC:7.5.2.7
CP002696.1_from_727225_to_740534_total_13310_4	EC:3.5.4.-
CP002696.1_from_1054910_to_1074211_total_19302_16	EC:6.3.4.2
CP002696.1_from_1390053_to_1413588_total_23536_22	EC:1.17.7.3
CP002696.1_from_1459052_to_1476061_total_17010_2	EC:7.5.2.11;EC:7.5.2.7
CP002696.1_from_1794915_to_1811547_total_16633_11	EC:2.7.4.25
CP002696.1_from_1983770_to_1994613_total_10844_5	EC:7.2.4.5
CP016649.1_from_204475_to_204734_total_260_1	EC:3.4.21.53
CP016649.1_from_253476_to_253844_total_369_1	EC:2.1.1.37
CP016649.1_from_351151_to_351696_total_546_1	EC:1.2.4.1
CP016649.1_from_1464954_to_1465352_total_399_1	EC:1.1.1.262
CP016649.1_from_1659130_to_1659875_total_746_1	EC:2.7.7.99
CP016649.1_from_1956472_to_1957161_total_690_1	EC:5.4.99.23
CP016649.1_from_2009250_to_2009519_total_270_1	EC:5.1.1.7
CP017384.1_from_35051_to_42040_total_6990_2	EC:3.1.4.-;EC:3.1.4.41
CP017384.1_from_960680_to_983436_total_22757_18	EC:5.4.99.61
AP012048.1_from_416654_to_435854_total_19201_10	EC:7.1.1.-
AP012048.1_from_416654_to_435854_total_19201_15	EC:7.1.1.-
AP012048.1_from_442205_to_445332_total_3128_3	EC:7.1.1.-
AP012281.1_from_27651_to_28186_total_536_1	EC:2.7.1.197
AP012281.1_from_315126_to_319051_total_3926_5	EC:1.1.1.-;EC:1.1.1.283
AP012281.1_from_1403106_to_1404316_total_1211_2	EC:7.2.2.5
AP012281.1_from_1414568_to_1415417_total_850_1	EC:1.1.1.169
AP012281.1_from_2001521_to_2002220_total_700_1	EC:3.6.3.-
AP012281.1_from_2173579_to_2174980_total_1402_3	EC:1.16.-.-
CP009420.1_from_143530_to_155346_total_11817_7	EC:2.7.7.43
CP009420.1_from_155420_to_157266_total_1847_1	EC:7.6.2.12
CP009420.1_from_323232_to_337996_total_14765_14	EC:2.7.7.n1
CP009420.1_from_772589_to_779444_total_6856_8	EC:3.1.21.4
CP009420.1_from_939761_to_1044638_total_104878_37	EC:2.4.99.6
CP009420.1_from_1102686_to_1310706_total_208021_162	EC:2.1.1.37
CP009420.1_from_1102686_to_1310706_total_208021_165	EC:3.1.21.4
CP009420.1_from_1412260_to_1426081_total_13822_1	EC:1.1.1.284
CP013334.1_from_102238_to_102786_total_549_1	EC:7.2.2.8
CP013334.1_from_1456090_to_1456596_total_507_1	EC:3.5.2.9
CP013334.1_from_2322431_to_2323275_total_845_2	EC:4.2.1.46
CP016661.1_from_169060_to_171691_total_2632_3	EC:2.7.7.n1
CP016661.1_from_344798_to_351590_total_6793_6	EC:7.6.2.12
CP016661.1_from_353247_to_357654_total_4408_3	EC:2.7.7.43
CP016661.1_from_547507_to_550160_total_2654_3	EC:3.1.3.82
CP016661.1_from_826564_to_827072_total_509_1	EC:6.3.2.8
CP016661.1_from_1279487_to_1285150_total_5664_5	EC:1.1.1.284
CP016661.1_from_1444334_to_1447475_total_3142_4	EC:3.1.21.4
CP016661.1_from_1708837_to_1712600_total_3764_1	EC:2.4.99.6
CP016661.1_from_1888994_to_1896887_total_7894_8	EC:3.1.21.4
CP010461.1_from_967730_to_996912_total_29183_29	EC:2.4.1.290
CP010461.1_from_996923_to_1012534_total_15612_5	EC:7.5.2.5
CP010461.1_from_1165859_to_1167218_total_1360_2	EC:2.6.1.92
CP010461.1_from_1383898_to_1390079_total_6182_2	EC:7.3.2.6
CP019469.1_from_975937_to_1158726_total_182790_56	EC:7.6.2.11
CP019469.1_from_3182118_to_3315521_total_133404_80	EC:1.3.8.1
CP019469.1_from_3337461_to_3769995_total_432535_194	EC:2.3.1.181
CP019469.1_from_3770024_to_4124119_total_354096_92	EC:5.1.1.12
CP019469.1_from_3770024_to_4124119_total_354096_114	EC:1.3.1.108
CP019469.1_from_3770024_to_4124119_total_354096_115	EC:4.2.1.157
CP018136.1_from_1126087_to_1127324_total_1238_1	EC:3.2.1.85
CP018136.1_from_1444357_to_1445350_total_994_2	EC:1.17.1.8
CP000487.1_from_23697_to_68746_total_45050_51	EC:1.2.1.21;EC:1.2.1.22
CP000487.1_from_364515_to_783377_total_418863_270	EC:2.3.2.29
CP000487.1_from_1330912_to_1377108_total_46197_37	EC:2.4.1.291
CP003974.1_from_565260_to_568658_total_3399_2	EC:2.4.99.6
CP003974.1_from_594436_to_595308_total_873_1	EC:3.1.3.5
CP003974.1_from_1007428_to_1009188_total_1761_2	EC:3.1.21.4
CP003974.1_from_1419321_to_1420802_total_1482_2	EC:7.2.1.1
CP003974.1_from_1519858_to_1521532_total_1675_4	EC:1.4.4.2
CP003974.1_from_1815471_to_1818205_total_2735_3	EC:3.1.21.4
CP003974.1_from_1932161_to_1934289_total_2129_1	EC:2.7.1.221
CP003974.1_from_2069031_to_2073586_total_4556_5	EC:3.1.21.4
CP003974.1_from_2109873_to_2113979_total_4107_4	EC:2.3.1.179
CP010449.1_from_5_to_1950444_total_1950440_142	EC:4.4.1.13
AP012292.1_from_11_to_3003674_total_3003664_2823	EC:1.7.5.1
CP007497.1_from_1019165_to_1020101_total_937_3	EC:5.3.1.26
CP007497.1_from_1343017_to_1344396_total_1380_1	EC:2.7.1.66
CP007497.1_from_1489077_to_1491462_total_2386_3	EC:2.5.1.48
CP007497.1_from_1612939_to_1613883_total_945_1	EC:3.6.1.66
CP007497.1_from_1691770_to_1694643_total_2874_5	EC:2.1.3.15
CP001685.1_from_1662975_to_1664410_total_1436_1	EC:3.2.2.8
LN908249.1_from_1067536_to_1072887_total_5352_2	EC:2.3.1.193
LN908249.1_from_1123693_to_1127336_total_3644_1	EC:3.2.1.23
LN908249.1_from_1584795_to_1596876_total_12082_5	EC:3.6.3.-
LN908249.1_from_1857241_to_1864789_total_7549_5	EC:7.6.2.12
CP003022.1_from_4_to_2349516_total_2349513_823	EC:2.4.1.212;EC:2.4.1.226
CP011329.1_from_532374_to_534184_total_1811_1	EC:3.1.3.11
CP011329.1_from_1533182_to_1535251_total_2070_3	EC:3.4.11.-
CP011329.1_from_1687108_to_1692209_total_5102_4	EC:2.7.1.121
CP011329.1_from_1917075_to_1920936_total_3862_5	EC:5.3.1.26
CP003313.1_from_184255_to_184841_total_587_2	EC:5.1.3.3
CP003313.1_from_318611_to_318892_total_282_1	EC:4.1.3.40
CP003313.1_from_1026463_to_1026612_total_150_1	EC:3.5.1.25
CP003313.1_from_1757776_to_1758029_total_254_1	EC:2.7.7.6
CP003313.1_from_1774538_to_1774857_total_320_1	EC:4.1.99.1
CP012588.1_from_9_to_1876487_total_1876479_482	EC:2.1.1.72
CP012588.1_from_9_to_1876487_total_1876479_723	EC:3.2.1.86
CP012588.1_from_9_to_1876487_total_1876479_780	EC:1.11.1.15
CP012588.1_from_9_to_1876487_total_1876479_939	EC:2.4.2.2
CP012588.1_from_9_to_1876487_total_1876479_940	EC:2.4.2.2
CP012588.1_from_9_to_1876487_total_1876479_1218	EC:3.4.24.-
CP012588.1_from_9_to_1876487_total_1876479_1643	EC:1.3.99.33
CP012588.1_from_9_to_1876487_total_1876479_2006	EC:3.2.1.11
CP012588.1_from_9_to_1876487_total_1876479_2007	EC:3.2.1.11
CP011777.1_from_1321251_to_1327785_total_6535_5	EC:2.4.1.290
CP011777.1_from_1522601_to_1541726_total_19126_20	EC:2.6.1.92
CP011777.1_from_1555786_to_1578264_total_22479_12	EC:2.5.1.101
CP011777.1_from_1555786_to_1578264_total_22479_13	EC:3.2.1.184
FN665654.1_from_10_to_1817678_total_1817669_419	EC:4.2.1.157
FN665654.1_from_10_to_1817678_total_1817669_420	EC:4.2.1.157
FN665654.1_from_10_to_1817678_total_1817669_421	EC:1.3.1.108
FN665654.1_from_10_to_1817678_total_1817669_445	EC:5.1.1.12
FN665654.1_from_10_to_1817678_total_1817669_738	EC:2.3.1.181
FN665654.1_from_10_to_1817678_total_1817669_1000	EC:1.3.8.1
FN665653.1_from_415197_to_415911_total_715_1	EC:4.1.2.13
FN665653.1_from_841639_to_842374_total_736_1	EC:6.1.1.20
FN665653.1_from_1183097_to_1184367_total_1271_1	EC:1.3.8.1
FN665653.1_from_2011237_to_2012240_total_1004_2	EC:2.7.13.3
FN665653.1_from_3159796_to_3160738_total_943_1	EC:3.4.24.89
FN665653.1_from_3229507_to_3229964_total_458_2	EC:2.7.1.205
FN665653.1_from_3888047_to_3888434_total_388_2	EC:6.1.1.10
CP007571.1_from_32670_to_49463_total_16794_1	EC:2.7.6.1
CP007571.1_from_193578_to_209690_total_16113_15	EC:3.4.11.7
CP007571.1_from_951316_to_983104_total_31789_19	EC:3.1.-.-;EC:3.6.4.12
CP007571.1_from_1234037_to_1267322_total_33286_28	EC:2.5.1.101
CP007571.1_from_1292772_to_1304078_total_11307_5	EC:4.2.2.1
CP007571.1_from_1520378_to_1554693_total_34316_19	EC:3.4.11.-
CP007571.1_from_1695799_to_1736348_total_40550_7	EC:2.7.1.121
CP006246.1_from_569651_to_570776_total_1126_2	EC:2.7.1.66
CP006246.1_from_904793_to_908424_total_3632_1	EC:5.3.1.26
CP000023.1_from_524511_to_524759_total_249_1	EC:1.4.1.1
CP000023.1_from_588213_to_588855_total_643_1	EC:2.7.1.24
CP000023.1_from_734884_to_735873_total_990_1	EC:5.4.2.2
CP000023.1_from_952838_to_953213_total_376_2	EC:3.2.1.86
CP000023.1_from_1091362_to_1091757_total_396_1	EC:4.2.1.46
CP000023.1_from_1441031_to_1441616_total_586_2	EC:6.3.5.7
CP000023.1_from_1745098_to_1745623_total_526_1	EC:6.1.1.12
CP003686.1_from_1717406_to_1717972_total_567_2	EC:2.7.8.7
CP016669.1_from_1130398_to_1131116_total_719_1	EC:3.1.21.4
CP016669.1_from_1293036_to_1293785_total_750_1	EC:1.1.1.284
CP016669.1_from_1437778_to_1438561_total_784_1	EC:3.5.1.18
CP016669.1_from_1463289_to_1463699_total_411_1	EC:6.2.1.3
AM421808.1_from_254573_to_254868_total_296_1	EC:7.1.1.-
AM421808.1_from_650886_to_651159_total_274_1	EC:2.1.3.15
AM421808.1_from_1322923_to_1323214_total_292_1	EC:1.1.1.284
CP017125.1_from_289603_to_291336_total_1734_2	EC:2.7.1.30
CP017125.1_from_521875_to_530917_total_9043_12	EC:5.1.3.9
CP017125.1_from_953619_to_961705_total_8087_14	EC:7.3.2.2
CP016359.1_from_126401_to_130275_total_3875_5	EC:4.1.1.35
CP016359.1_from_132324_to_133240_total_917_2	EC:5.1.3.7
CP016359.1_from_2044412_to_2046612_total_2201_1	EC:1.-.-.-
CP003357.2_from_406022_to_433701_total_27680_9	EC:3.2.1.97
CP003357.2_from_1142846_to_1190283_total_47438_13	EC:3.4.24.13
CP010867.1_from_1471977_to_1473774_total_1798_1	EC:3.4.11.-
CP016660.1_from_791729_to_1007595_total_215867_72	EC:2.4.99.6
CP016660.1_from_1123022_to_1136244_total_13223_1	EC:4.3.2.1
CP016660.1_from_1754286_to_1794710_total_40425_14	EC:7.6.2.12
CP016660.1_from_1754286_to_1794710_total_40425_19	EC:2.7.7.43
CP000767.2_from_5_to_1971269_total_1971265_402	EC:2.4.1.291
CP000767.2_from_5_to_1971269_total_1971265_811	EC:4.2.1.3;EC:4.2.1.99
CP000767.2_from_5_to_1971269_total_1971265_1248	EC:5.4.99.-
CP000767.2_from_5_to_1971269_total_1971265_1606	EC:3.6.1.66
CP000767.2_from_5_to_1971269_total_1971265_1653	EC:2.6.1.92
CP003099.1_from_121695_to_392980_total_271286_98	EC:1.1.1.22
CP003099.1_from_508894_to_1438547_total_929654_124	EC:2.2.1.6
CP003496.2_from_2219251_to_2219898_total_648_1	EC:5.4.99.-
CP013939.1_from_10_to_1787432_total_1787423_218	EC:2.4.2.2
CP013939.1_from_10_to_1787432_total_1787423_350	EC:2.1.1.72
CP013939.1_from_10_to_1787432_total_1787423_497	EC:2.7.1.-
CP013939.1_from_10_to_1787432_total_1787423_844	EC:3.2.1.11
CP013939.1_from_10_to_1787432_total_1787423_922	EC:3.4.16.-
CP013939.1_from_10_to_1787432_total_1787423_1601	EC:5.1.3.3
CP013939.1_from_10_to_1787432_total_1787423_1634	EC:5.3.1.8
CP013939.1_from_10_to_1787432_total_1787423_1897	EC:3.2.1.86
CP016665.1_from_1_to_2154341_total_2154341_742	EC:7.6.2.12
CP016665.1_from_1_to_2154341_total_2154341_747	EC:2.7.7.43
CP016665.1_from_1_to_2154341_total_2154341_921	EC:2.7.7.n1
CP016665.1_from_1_to_2154341_total_2154341_1335	EC:3.1.21.4
CP016665.1_from_1_to_2154341_total_2154341_1539	EC:2.4.99.6
CP016665.1_from_1_to_2154341_total_2154341_1794	EC:2.1.1.37
CP016665.1_from_1_to_2154341_total_2154341_1797	EC:3.1.21.4
CP016665.1_from_1_to_2154341_total_2154341_1936	EC:1.1.1.284
CP001561.1_from_74280_to_75560_total_1281_2	EC:2.7.7.43
CP001561.1_from_77192_to_80327_total_3136_4	EC:7.6.2.12
CP001561.1_from_255792_to_258894_total_3103_5	EC:2.7.7.n1
CP001561.1_from_670516_to_671372_total_857_2	EC:4.3.2.1
CP001561.1_from_952253_to_952851_total_599_1	EC:1.2.1.-
CP001561.1_from_1124719_to_1125536_total_818_1	EC:4.2.1.136
CP001561.1_from_1255294_to_1256510_total_1217_1	EC:2.3.1.51
CP001561.1_from_1370928_to_1373284_total_2357_2	EC:1.1.1.284
CP015066.2_from_729154_to_730635_total_1482_1	EC:3.4.24.76
CP015066.2_from_2009716_to_2011962_total_2247_3	EC:3.2.1.96
CP015066.2_from_2481698_to_2482454_total_757_1	EC:4.3.2.3
CP015066.2_from_3678352_to_3679265_total_914_1	EC:3.2.1.96
CP017040.1_from_895708_to_911709_total_16002_15	EC:5.4.99.61
CP017040.1_from_2262832_to_2277279_total_14448_6	EC:7.2.4.5
CP003810.1_from_887262_to_909001_total_21740_20	EC:3.1.-.-;EC:3.6.4.12
CP003810.1_from_1149316_to_1196957_total_47642_28	EC:2.5.1.101
CP003810.1_from_1592073_to_1619748_total_27676_9	EC:2.7.1.121
CP002421.1_from_16332_to_16942_total_611_1	EC:3.5.1.108
CP002421.1_from_75324_to_75886_total_563_1	EC:2.7.7.43
CP002421.1_from_79306_to_81019_total_1714_3	EC:7.6.2.12
CP002421.1_from_120543_to_122173_total_1631_1	EC:2.7.1.33;EC:6.3.4.15
CP002421.1_from_882821_to_883998_total_1178_2	EC:1.1.1.284
CP002421.1_from_1049536_to_1050741_total_1206_1	EC:1.1.1.85
CP002421.1_from_1049536_to_1050741_total_1206_2	EC:3.1.21.4
CP002421.1_from_1673168_to_1674506_total_1339_1	EC:7.2.1.1
CP002421.1_from_1833246_to_1833553_total_308_1	EC:6.3.2.8
CP002421.1_from_1863115_to_1863861_total_747_1	EC:3.1.11.2
CP002421.1_from_1922399_to_1922985_total_587_1	EC:2.3.1.117
CP002421.1_from_2009902_to_2011460_total_1559_1	EC:2.7.7.n1
