sequence_ID	prediction
AE015924.1_from_5_to_45924_total_45920_24	EC:4.6.1.12
AE015924.1_from_5_to_45924_total_45920_26	EC:3.5.4.5
AE015924.1_from_45983_to_171362_total_125380_5	EC:2.1.2.1
AE015924.1_from_45983_to_171362_total_125380_6	EC:3.2.1.52
AE015924.1_from_45983_to_171362_total_125380_9	EC:2.7.7.41
AE015924.1_from_45983_to_171362_total_125380_20	EC:2.7.7.18
AE015924.1_from_45983_to_171362_total_125380_30	EC:3.5.1.108;EC:4.2.1.59
AE015924.1_from_45983_to_171362_total_125380_32	EC:4.1.1.23
AE015924.1_from_45983_to_171362_total_125380_53	EC:6.1.1.20
AE015924.1_from_45983_to_171362_total_125380_66	None
AE015924.1_from_45983_to_171362_total_125380_80	EC:4.99.1.1
AE015924.1_from_45983_to_171362_total_125380_83	EC:5.4.2.11
AE015924.1_from_45983_to_171362_total_125380_86	EC:2.1.1.182
AE015924.1_from_171373_to_474359_total_302987_5	EC:6.1.1.12
AE015924.1_from_171373_to_474359_total_302987_6	EC:1.1.1.193;EC:3.5.4.26
AE015924.1_from_171373_to_474359_total_302987_13	EC:2.7.1.90
AE015924.1_from_171373_to_474359_total_302987_16	EC:3.1.1.29
AE015924.1_from_171373_to_474359_total_302987_56	EC:2.1.1.131
AE015924.1_from_171373_to_474359_total_302987_71	EC:2.2.1.2
AE015924.1_from_171373_to_474359_total_302987_78	EC:3.2.2.27
AE015924.1_from_171373_to_474359_total_302987_82	EC:2.1.1.198
AE015924.1_from_171373_to_474359_total_302987_96	EC:6.1.1.1
AE015924.1_from_171373_to_474359_total_302987_100	EC:3.1.11.2
AE015924.1_from_171373_to_474359_total_302987_127	EC:6.3.5.3
AE015924.1_from_171373_to_474359_total_302987_175	EC:3.2.1.18
AE015924.1_from_171373_to_474359_total_302987_179	EC:2.1.3.2
AE015924.1_from_171373_to_474359_total_302987_189	EC:5.6.2.2
AE015924.1_from_171373_to_474359_total_302987_190	EC:2.7.7.3
AE015924.1_from_171373_to_474359_total_302987_210	EC:2.7.7.6
AE015924.1_from_171373_to_474359_total_302987_211	EC:2.7.7.6
AE015924.1_from_171373_to_474359_total_302987_227	EC:5.2.1.8
AE015924.1_from_171373_to_474359_total_302987_230	EC:3.4.21.92
AE015924.1_from_474378_to_1146462_total_672085_10	EC:2.7.1.33
AE015924.1_from_474378_to_1146462_total_672085_15	EC:5.2.1.8
AE015924.1_from_474378_to_1146462_total_672085_24	EC:6.3.2.17
AE015924.1_from_474378_to_1146462_total_672085_25	EC:6.3.4.4
AE015924.1_from_474378_to_1146462_total_672085_41	EC:2.7.1.24
AE015924.1_from_474378_to_1146462_total_672085_46	EC:3.6.4.12
AE015924.1_from_474378_to_1146462_total_672085_52	EC:3.2.2.9
AE015924.1_from_474378_to_1146462_total_672085_53	EC:4.4.1.21
AE015924.1_from_474378_to_1146462_total_672085_60	EC:3.4.22.37
AE015924.1_from_474378_to_1146462_total_672085_66	EC:2.7.4.8
AE015924.1_from_474378_to_1146462_total_672085_78	EC:6.3.4.2
AE015924.1_from_474378_to_1146462_total_672085_82	EC:6.3.5.5
AE015924.1_from_474378_to_1146462_total_672085_87	EC:3.4.13.18
AE015924.1_from_474378_to_1146462_total_672085_106	EC:2.4.2.1
AE015924.1_from_474378_to_1146462_total_672085_116	EC:2.1.1.199
AE015924.1_from_474378_to_1146462_total_672085_119	EC:6.3.2.13
AE015924.1_from_474378_to_1146462_total_672085_120	EC:2.7.8.13
AE015924.1_from_474378_to_1146462_total_672085_121	EC:6.3.2.9
AE015924.1_from_474378_to_1146462_total_672085_123	EC:2.4.1.227
AE015924.1_from_474378_to_1146462_total_672085_124	EC:6.3.2.8
AE015924.1_from_474378_to_1146462_total_672085_130	EC:2.1.2.11
AE015924.1_from_474378_to_1146462_total_672085_131	EC:6.3.5.2
AE015924.1_from_474378_to_1146462_total_672085_141	EC:3.5.4.25;EC:4.1.99.12
AE015924.1_from_474378_to_1146462_total_672085_144	EC:2.7.4.25
AE015924.1_from_474378_to_1146462_total_672085_145	EC:1.17.7.4
AE015924.1_from_474378_to_1146462_total_672085_157	EC:3.4.21.53
AE015924.1_from_474378_to_1146462_total_672085_160	EC:5.3.1.1
AE015924.1_from_474378_to_1146462_total_672085_162	EC:3.5.4.16
AE015924.1_from_474378_to_1146462_total_672085_167	EC:2.6.99.2
AE015924.1_from_474378_to_1146462_total_672085_221	EC:1.2.1.76
AE015924.1_from_474378_to_1146462_total_672085_231	EC:2.4.2.21
AE015924.1_from_474378_to_1146462_total_672085_239	EC:5.2.1.8
AE015924.1_from_474378_to_1146462_total_672085_255	EC:6.3.2.4
AE015924.1_from_474378_to_1146462_total_672085_258	EC:2.5.1.9
AE015924.1_from_474378_to_1146462_total_672085_261	EC:3.1.26.4
AE015924.1_from_474378_to_1146462_total_672085_263	EC:3.5.4.33
AE015924.1_from_474378_to_1146462_total_672085_264	EC:3.1.26.11
AE015924.1_from_474378_to_1146462_total_672085_269	EC:4.4.1.5
AE015924.1_from_474378_to_1146462_total_672085_274	EC:2.4.2.9
