sequence_ID	prediction
CP003357.2_from_951379_to_951652_total_274_1	EC:5.6.2.1
CP001993.1_from_145895_to_146655_total_761_1	EC:3.5.3.6
CP001993.1_from_184721_to_185488_total_768_2	EC:1.1.3.21
CP001993.1_from_287437_to_287843_total_407_1	EC:6.3.4.4
CP001993.1_from_716383_to_717260_total_878_2	EC:2.1.1.207
CP001993.1_from_904153_to_905076_total_924_2	EC:2.4.1.227
CP001993.1_from_1900083_to_1901366_total_1284_3	EC:3.1.21.4
CP016553.1_from_490951_to_492357_total_1407_1	EC:3.1.3.5
CP016553.1_from_687295_to_688097_total_803_1	EC:1.1.1.22
CP016553.1_from_1744341_to_1744890_total_550_1	EC:2.4.99.17
CP002091.1_from_618193_to_624873_total_6681_6	EC:7.2.2.-
CP002091.1_from_1428363_to_1446777_total_18415_12	EC:3.6.1.3
CP002091.1_from_2625202_to_2646124_total_20923_11	EC:3.4.14.13
CP002091.1_from_2954156_to_2963021_total_8866_4	EC:1.14.14.1;EC:1.6.2.4
CP002091.1_from_4162748_to_4183389_total_20642_2	EC:7.2.2.-
CP002091.1_from_4806085_to_4847072_total_40988_17	EC:7.2.2.-
CP002092.1_from_126083_to_151882_total_25800_23	EC:3.4.24.83
CP004856.1_from_1116273_to_1119510_total_3238_1	EC:1.1.1.81
CP000725.1_from_140624_to_141847_total_1224_1	EC:7.1.2.2
CP000725.1_from_848730_to_850218_total_1489_2	EC:7.6.2.11
CP000725.1_from_970257_to_971154_total_898_1	EC:2.7.7.12
CP000725.1_from_1409417_to_1410903_total_1487_3	EC:2.7.1.71
CP000725.1_from_1457135_to_1468016_total_10882_2	EC:3.1.-.-;EC:3.6.4.12
CP016658.1_from_186184_to_187716_total_1533_3	EC:7.3.2.3
CP016658.1_from_312036_to_314612_total_2577_5	EC:6.1.1.20
CP016658.1_from_404700_to_405619_total_920_1	EC:4.3.2.1
CP016658.1_from_737390_to_738788_total_1399_2	EC:2.7.1.221
CP016658.1_from_948035_to_949282_total_1248_2	EC:3.2.1.183
CP016658.1_from_1006485_to_1007483_total_999_2	EC:1.1.1.29
CP016658.1_from_1112098_to_1113061_total_964_1	EC:4.1.1.31
CP016658.1_from_1820610_to_1822121_total_1512_1	EC:2.7.7.7
CP016658.1_from_1880643_to_1880889_total_247_1	EC:1.1.1.284
CP016658.1_from_1883835_to_1884321_total_487_1	EC:4.2.1.12
CP016658.1_from_2112672_to_2113527_total_856_2	EC:2.7.7.59;EC:3.1.4.-
CP011996.1_from_1546178_to_1563438_total_17261_6	EC:3.4.22.37
AP009380.1_from_515098_to_516208_total_1111_2	EC:2.1.1.197
CP012731.1_from_345147_to_347190_total_2044_2	EC:2.7.1.66
CP012731.1_from_1016542_to_1017583_total_1042_2	EC:3.1.21.4
CP012731.1_from_1807051_to_1811200_total_4150_2	EC:3.1.-.-;EC:3.6.4.12
CP011415.1_from_1350616_to_1351150_total_535_2	EC:5.3.1.26
CP014861.1_from_382728_to_384438_total_1711_2	EC:1.2.4.1
CP014861.1_from_754926_to_755679_total_754_1	EC:3.5.4.12
CP014861.1_from_1052054_to_1053238_total_1185_2	EC:5.1.3.2
CP012119.1_from_6757_to_7302_total_546_1	EC:4.1.1.49
CP012119.1_from_297893_to_298678_total_786_2	EC:3.2.1.10
CP012119.1_from_556693_to_557379_total_687_1	EC:1.7.1.7
CP012119.1_from_778027_to_779786_total_1760_2	EC:1.14.99.48
CP012119.1_from_817747_to_820092_total_2346_1	EC:2.3.1.12
CP012119.1_from_914857_to_916463_total_1607_1	EC:2.7.6.5
CP012119.1_from_968841_to_970517_total_1677_1	EC:1.4.1.2
CP012119.1_from_989579_to_991294_total_1716_1	EC:1.6.-.-
CP012119.1_from_1141204_to_1142589_total_1386_3	EC:2.7.13.3
CP012119.1_from_1146987_to_1147582_total_596_1	EC:3.5.1.25
CP012119.1_from_1213064_to_1213838_total_775_1	EC:2.4.1.187
CP012119.1_from_1278103_to_1279339_total_1237_1	EC:2.3.1.8
CP012119.1_from_1663787_to_1664511_total_725_1	EC:2.3.1.54
CP012119.1_from_1733345_to_1734080_total_736_2	EC:1.14.99.48
CP012119.1_from_1764785_to_1765959_total_1175_1	EC:5.4.2.7
CP012119.1_from_1859910_to_1862509_total_2600_4	EC:2.3.1.57
CP012119.1_from_2103943_to_2104976_total_1034_1	EC:1.2.1.88
CP012119.1_from_2134268_to_2135439_total_1172_1	EC:3.4.22.70
CP012119.1_from_2472830_to_2474330_total_1501_2	EC:1.-.-.-
CP012119.1_from_2608048_to_2610426_total_2379_1	EC:2.7.8.7
CP012119.1_from_2712177_to_2713571_total_1395_3	EC:3.1.4.3
CP012119.1_from_2757713_to_2760834_total_3122_1	EC:2.7.1.107
CP012119.1_from_2764970_to_2765546_total_577_1	EC:6.3.5.13
CP003208.1_from_428471_to_1101637_total_673167_485	EC:1.2.4.2;EC:2.3.1.61
AJ938182.1_from_894662_to_894960_total_299_2	EC:6.3.4.5
AJ938182.1_from_1222034_to_1222308_total_275_1	EC:2.7.7.7
AJ938182.1_from_1497086_to_1497524_total_439_1	EC:3.2.1.10
AJ938182.1_from_1631768_to_1632053_total_286_2	EC:3.6.4.12
AJ938182.1_from_2438341_to_2438820_total_480_1	EC:2.6.1.62
CP011330.1_from_97320_to_97739_total_420_2	EC:3.5.4.16
CP011330.1_from_290754_to_291271_total_518_1	EC:2.1.1.33
CP011330.1_from_344021_to_345050_total_1030_1	EC:2.8.3.5
CP011330.1_from_652507_to_653376_total_870_2	EC:2.7.1.39
CP011330.1_from_781019_to_784098_total_3080_1	EC:3.5.4.4
CP011330.1_from_968373_to_969090_total_718_1	EC:1.1.5.4
CP011330.1_from_1192332_to_1193829_total_1498_1	EC:3.1.11.6
CP011330.1_from_1569934_to_1571253_total_1320_2	EC:2.1.1.77
CP013261.1_from_1117000_to_1140355_total_23356_17	EC:5.4.99.61
CP006992.1_from_43311_to_44136_total_826_2	EC:5.3.1.24
CP012391.1_from_77120_to_77754_total_635_1	EC:2.7.7.43
CP012391.1_from_1613969_to_1614887_total_919_1	EC:3.1.21.4
CP007726.1_from_64785_to_65718_total_934_2	EC:1.5.1.36
CP007726.1_from_213014_to_213413_total_400_1	EC:2.7.7.6
CP007726.1_from_818919_to_821096_total_2178_3	EC:7.3.2.3
CP007726.1_from_824248_to_824397_total_150_1	EC:1.2.1.16
CP007726.1_from_1646124_to_1648254_total_2131_2	EC:6.1.1.18
CP007726.1_from_1829497_to_1829835_total_339_1	EC:2.3.1.129
CP007726.1_from_1915513_to_1918146_total_2634_4	EC:7.2.1.1
CP011507.1_from_5585473_to_5586013_total_541_1	EC:1.3.8.-
CP011507.1_from_5604157_to_5604631_total_475_1	EC:6.1.1.16
CP000671.1_from_4771_to_5325_total_555_1	EC:3.4.13.21
CP000671.1_from_64390_to_64662_total_273_1	EC:2.3.1.234
CP000671.1_from_69976_to_71137_total_1162_1	EC:4.1.2.13
CP000671.1_from_165290_to_166547_total_1258_2	EC:2.7.8.8
CP000671.1_from_436662_to_437194_total_533_1	EC:3.1.3.5
CP000671.1_from_469417_to_470104_total_688_1	EC:7.2.1.1
CP000671.1_from_478336_to_478997_total_662_2	EC:1.97.1.4
