sequence_ID	prediction
CP015377.1_from_2106922_to_2107592_total_671_2	EC:3.1.3.82
CP007619.1_from_1024595_to_1035693_total_11099_7	EC:3.2.1.22;EC:3.2.1.n1;EC:3.2.1.n2
CP007619.1_from_1553881_to_1560755_total_6875_5	EC:6.2.1.-
CP007619.1_from_3265425_to_3266449_total_1025_1	EC:6.1.1.3
CP007205.1_from_261144_to_393362_total_132219_96	EC:2.7.7.42;EC:2.7.7.89
CP007205.1_from_884346_to_983024_total_98679_27	EC:2.4.1.212;EC:2.4.1.226
CP007205.1_from_2087225_to_2154580_total_67356_1	EC:7.2.1.1
FN995097.1_from_1939_to_2088_total_150_1	EC:5.2.1.8
FN995097.1_from_5661_to_5905_total_245_1	EC:2.6.1.16
FN995097.1_from_324949_to_325962_total_1014_1	EC:2.7.7.18
FN995097.1_from_775996_to_776317_total_322_1	EC:3.5.1.18
FN995097.1_from_1093425_to_1093685_total_261_1	EC:3.4.21.53
FN995097.1_from_1208595_to_1209434_total_840_1	EC:2.3.1.51
FN995097.1_from_2132956_to_2134547_total_1592_2	EC:2.7.1.221
FN995097.1_from_2146997_to_2147804_total_808_2	EC:3.6.4.12
AP014653.1_from_8_to_2770161_total_2770154_539	EC:3.5.4.16
AP014653.1_from_8_to_2770161_total_2770154_833	EC:1.4.1.2
AP014653.1_from_8_to_2770161_total_2770154_856	EC:2.3.3.13
AP014653.1_from_8_to_2770161_total_2770154_1016	EC:1.14.99.48
AP014653.1_from_8_to_2770161_total_2770154_1848	EC:3.1.4.3
AP014653.1_from_8_to_2770161_total_2770154_2380	EC:5.4.2.2
AP014653.1_from_8_to_2770161_total_2770154_2417	EC:3.4.22.70
AP014653.1_from_8_to_2770161_total_2770154_2451	EC:1.3.8.-
CP010998.1_from_101500_to_127529_total_26030_24	EC:1.4.1.2
CP010998.1_from_300113_to_367006_total_66894_21	EC:1.14.99.48
CP010998.1_from_687813_to_1274252_total_586440_505	EC:3.1.4.3
CP010998.1_from_1712879_to_1786522_total_73644_28	EC:5.4.2.2
CP010998.1_from_1712879_to_1786522_total_73644_65	EC:3.4.22.70
CP010998.1_from_1786624_to_1970326_total_183703_32	EC:1.3.8.-
CP010998.1_from_2476299_to_2614756_total_138458_89	EC:3.5.4.16
CP016394.1_from_344470_to_347554_total_3085_4	EC:2.7.1.-
CP016394.1_from_431167_to_446805_total_15639_16	EC:2.7.1.202
CP016394.1_from_483842_to_489488_total_5647_7	EC:2.4.1.10
CP016394.1_from_654664_to_655584_total_921_1	EC:3.6.3.-
CP016394.1_from_655687_to_665187_total_9501_9	EC:3.2.1.11
CP016394.1_from_655687_to_665187_total_9501_10	EC:3.2.1.11
CP016394.1_from_734348_to_737605_total_3258_3	EC:3.4.16.-
CP016394.1_from_987888_to_996259_total_8372_10	EC:1.3.99.33
CP016394.1_from_1387166_to_1390040_total_2875_2	EC:3.4.24.-
CP016394.1_from_1392644_to_1398091_total_5448_3	EC:5.1.3.3
CP008944.1_from_876553_to_877669_total_1117_1	EC:1.8.1.15
CP016678.1_from_18423_to_20740_total_2318_1	EC:2.7.1.33;EC:6.3.4.15
CP016678.1_from_166397_to_167517_total_1121_2	EC:3.2.1.183
CP016678.1_from_170801_to_171690_total_890_2	EC:7.6.2.12
CP016678.1_from_350484_to_354551_total_4068_3	EC:2.7.7.n1
CP016678.1_from_1010050_to_1011336_total_1287_3	EC:2.3.1.46
CP016678.1_from_1266928_to_1270451_total_3524_5	EC:2.1.1.37
CP016678.1_from_1311308_to_1313074_total_1767_4	EC:1.17.4.1
CP016678.1_from_1335439_to_1336009_total_571_2	EC:1.17.7.3
CP016678.1_from_1736579_to_1737002_total_424_1	EC:2.6.1.57
CP013121.1_from_375169_to_376897_total_1729_1	EC:3.2.2.-;EC:4.2.99.18
CP007593.1_from_34_to_2287772_total_2287739_80	EC:3.2.1.52
CP007593.1_from_34_to_2287772_total_2287739_243	EC:7.2.2.7
CP007593.1_from_34_to_2287772_total_2287739_338	EC:5.4.99.9
CP007593.1_from_34_to_2287772_total_2287739_1174	EC:2.3.1.12
CP007593.1_from_34_to_2287772_total_2287739_1183	EC:3.4.24.-
FR873482.1_from_828611_to_829862_total_1252_1	EC:4.2.1.46
FR873482.1_from_1641555_to_1642769_total_1215_2	EC:1.18.1.2
CP006770.1_from_797301_to_1947398_total_1150098_829	EC:2.4.1.212
CP002667.1_from_1674286_to_1676492_total_2207_1	EC:4.1.2.-
CP012958.1_from_455592_to_456160_total_569_1	EC:3.1.13.1
CP012958.1_from_1170370_to_1170625_total_256_1	EC:2.3.1.61
CP012958.1_from_1227072_to_1227881_total_810_1	EC:2.4.2.29
CP012958.1_from_1871110_to_1872920_total_1811_3	EC:2.2.1.6
CP016647.1_from_94039_to_95203_total_1165_1	EC:2.1.1.228
CP016647.1_from_551781_to_560049_total_8269_7	EC:3.1.21.4
CP016647.1_from_918557_to_921796_total_3240_3	EC:2.7.7.7
CP016647.1_from_1512445_to_1513346_total_902_1	EC:3.5.2.9
CP016647.1_from_1668382_to_1674130_total_5749_2	EC:2.7.7.43
CP009896.1_from_6_to_5637357_total_5637352_2427	EC:3.1.11.-
CP009896.1_from_6_to_5637357_total_5637352_2466	EC:1.3.1.-
CP009896.1_from_6_to_5637357_total_5637352_2676	EC:1.16.-.-
CP011147.1_from_134400_to_134858_total_459_1	EC:1.1.1.304
CP011147.1_from_275118_to_275897_total_780_1	EC:1.1.1.27
CP011147.1_from_623140_to_623667_total_528_1	EC:2.7.1.35
CP011147.1_from_677762_to_678261_total_500_1	EC:7.5.2.4
CP011147.1_from_885629_to_886729_total_1101_1	EC:6.2.1.54
CP011147.1_from_938821_to_941552_total_2732_5	EC:2.3.1.180
CP011147.1_from_1056601_to_1058425_total_1825_2	EC:1.2.4.1
CP011147.1_from_1100160_to_1100392_total_233_1	EC:6.1.1.20
CP011147.1_from_1477817_to_1478456_total_640_1	EC:6.1.1.22
CP011147.1_from_1482424_to_1483654_total_1231_2	EC:2.7.7.72
CP011147.1_from_1657829_to_1657978_total_150_1	EC:2.4.99.17
CP011147.1_from_1657996_to_1659179_total_1184_2	EC:3.6.4.12
CP011147.1_from_1761872_to_1763313_total_1442_1	EC:6.2.1.1
CP011147.1_from_2022964_to_2023381_total_418_2	EC:6.3.5.13
CP011147.1_from_2027976_to_2030526_total_2551_3	EC:2.7.1.107
CP011147.1_from_2307949_to_2308816_total_868_1	EC:3.2.1.85
CP011147.1_from_2312028_to_2312837_total_810_2	EC:2.7.1.144
CP011147.1_from_2317012_to_2317699_total_688_1	EC:1.1.1.-;EC:1.1.1.283
CP011147.1_from_2383965_to_2385775_total_1811_2	EC:1.3.99.-
CP011147.1_from_2388683_to_2389153_total_471_1	EC:3.5.1.5
CP011147.1_from_2408749_to_2409337_total_589_1	EC:1.17.1.9
