sequence_ID	prediction
CP007571.1_from_196963_to_197514_total_552_1	EC:2.7.7.6
CP007571.1_from_331415_to_332192_total_778_2	EC:2.7.7.6
CP007571.1_from_460001_to_460692_total_692_2	None
CP007571.1_from_703886_to_704382_total_497_1	EC:5.6.2.1;EC:5.99.1.2
CP007571.1_from_877069_to_877622_total_554_1	EC:1.15.1.1
CP007571.1_from_1006493_to_1007020_total_528_1	EC:3.6.5.n1
CP007571.1_from_1055386_to_1056346_total_961_1	EC:6.3.5.2
CP007571.1_from_1138522_to_1139233_total_712_1	EC:2.4.2.10
CP007571.1_from_1175984_to_1177040_total_1057_2	EC:2.4.2.22
CP007571.1_from_1300571_to_1301442_total_872_1	EC:5.1.3.13
CP007571.1_from_1382708_to_1383448_total_741_1	EC:2.7.1.36
CP007571.1_from_1599246_to_1600224_total_979_2	EC:3.6.1.13
CP007571.1_from_1718110_to_1718906_total_797_1	EC:2.7.11.32;EC:2.7.4.27
CP007571.1_from_1740028_to_1740905_total_878_1	EC:2.7.1.4
CP002427.1_from_28_to_1871115_total_1871088_15	EC:3.6.4.12
CP002427.1_from_28_to_1871115_total_1871088_41	EC:1.17.4.2
CP002427.1_from_28_to_1871115_total_1871088_43	None
CP002427.1_from_28_to_1871115_total_1871088_57	None
CP002427.1_from_28_to_1871115_total_1871088_58	EC:1.1.1.28
CP002427.1_from_28_to_1871115_total_1871088_64	None
CP002427.1_from_28_to_1871115_total_1871088_97	EC:3.4.21.107
CP002427.1_from_28_to_1871115_total_1871088_146	EC:6.3.2.4
CP002427.1_from_28_to_1871115_total_1871088_158	EC:7.3.2.2
CP002427.1_from_28_to_1871115_total_1871088_196	EC:5.4.2.11
CP002427.1_from_28_to_1871115_total_1871088_197	EC:3.4.19.3
CP002427.1_from_28_to_1871115_total_1871088_203	EC:6.1.1.1
CP002427.1_from_28_to_1871115_total_1871088_207	EC:1.1.1.205
CP002427.1_from_28_to_1871115_total_1871088_220	EC:2.1.1.182
CP002427.1_from_28_to_1871115_total_1871088_236	EC:2.5.1.7
CP002427.1_from_28_to_1871115_total_1871088_242	EC:2.4.2.22
CP002427.1_from_28_to_1871115_total_1871088_248	EC:6.3.5.2
CP002427.1_from_28_to_1871115_total_1871088_261	EC:2.7.8.7
CP002427.1_from_28_to_1871115_total_1871088_262	EC:5.1.1.1
CP002427.1_from_28_to_1871115_total_1871088_265	EC:1.1.1.27
CP002427.1_from_28_to_1871115_total_1871088_266	EC:3.1.1.29
CP002427.1_from_28_to_1871115_total_1871088_271	EC:6.3.4.19
CP002427.1_from_28_to_1871115_total_1871088_281	EC:2.7.7.6
CP002427.1_from_28_to_1871115_total_1871088_282	EC:2.7.7.6
CP002427.1_from_28_to_1871115_total_1871088_313	EC:2.7.4.3
CP002427.1_from_28_to_1871115_total_1871088_317	EC:2.7.7.6
CP002427.1_from_28_to_1871115_total_1871088_322	EC:5.4.99.12
CP002427.1_from_28_to_1871115_total_1871088_340	EC:3.4.22.40
CP002427.1_from_28_to_1871115_total_1871088_345	EC:6.1.1.17
CP002427.1_from_28_to_1871115_total_1871088_346	EC:6.1.1.16
CP002427.1_from_28_to_1871115_total_1871088_365	EC:7.3.2.1
CP002427.1_from_28_to_1871115_total_1871088_366	EC:7.3.2.1
CP002427.1_from_28_to_1871115_total_1871088_381	EC:2.7.4.9
CP002427.1_from_28_to_1871115_total_1871088_390	EC:2.3.1.234
CP002427.1_from_28_to_1871115_total_1871088_393	EC:2.8.3.16
CP002427.1_from_28_to_1871115_total_1871088_397	EC:4.1.1.8
CP002427.1_from_28_to_1871115_total_1871088_413	EC:3.6.4.12
CP002427.1_from_28_to_1871115_total_1871088_414	EC:3.6.4.12
CP002427.1_from_28_to_1871115_total_1871088_416	EC:1.1.1.49
CP002427.1_from_28_to_1871115_total_1871088_417	EC:2.7.7.7
CP002427.1_from_28_to_1871115_total_1871088_421	EC:6.1.1.7
CP002427.1_from_28_to_1871115_total_1871088_433	EC:5.1.1.3
CP002427.1_from_28_to_1871115_total_1871088_434	EC:3.6.1.66
CP002427.1_from_28_to_1871115_total_1871088_440	EC:3.4.13.9
CP002427.1_from_28_to_1871115_total_1871088_488	None
