sequence_ID	prediction
CP013019.1_from_3_to_4351861_total_4351859_6	EC:5.6.2.2
CP013019.1_from_3_to_4351861_total_4351859_7	EC:5.6.2.2
CP013019.1_from_3_to_4351861_total_4351859_14	EC:1.1.1.95
CP013019.1_from_3_to_4351861_total_4351859_16	EC:6.1.1.11
CP013019.1_from_3_to_4351861_total_4351859_21	EC:1.12.7.2
CP013019.1_from_3_to_4351861_total_4351859_22	EC:4.1.1.65
CP013019.1_from_3_to_4351861_total_4351859_28	EC:3.5.4.33
CP013019.1_from_3_to_4351861_total_4351859_34	EC:2.7.7.7
CP013019.1_from_3_to_4351861_total_4351859_56	EC:3.4.17.19
CP013019.1_from_3_to_4351861_total_4351859_60	None
CP013019.1_from_3_to_4351861_total_4351859_67	EC:2.3.1.54
CP013019.1_from_3_to_4351861_total_4351859_68	EC:1.97.1.4
CP013019.1_from_3_to_4351861_total_4351859_70	EC:3.4.21.89
CP013019.1_from_3_to_4351861_total_4351859_73	EC:2.7.7.72
CP013019.1_from_3_to_4351861_total_4351859_74	EC:5.2.1.8
CP013019.1_from_3_to_4351861_total_4351859_76	EC:2.7.2.4
CP013019.1_from_3_to_4351861_total_4351859_87	EC:2.7.7.7
CP013019.1_from_3_to_4351861_total_4351859_97	EC:2.1.1.198
CP013019.1_from_3_to_4351861_total_4351859_102	EC:2.8.1.7
CP013019.1_from_3_to_4351861_total_4351859_103	EC:2.8.1.4
CP013019.1_from_3_to_4351861_total_4351859_109	EC:2.7.1.49;EC:2.7.4.7
CP013019.1_from_3_to_4351861_total_4351859_110	EC:2.7.1.50
CP013019.1_from_3_to_4351861_total_4351859_111	EC:2.5.1.3
CP013019.1_from_3_to_4351861_total_4351859_112	EC:2.3.1.183
CP013019.1_from_3_to_4351861_total_4351859_113	EC:2.1.3.3
CP013019.1_from_3_to_4351861_total_4351859_114	EC:2.5.1.78
CP013019.1_from_3_to_4351861_total_4351859_115	EC:3.5.4.25;EC:4.1.99.12
CP013019.1_from_3_to_4351861_total_4351859_116	EC:2.5.1.9
CP013019.1_from_3_to_4351861_total_4351859_117	EC:1.1.1.193;EC:3.5.4.26
CP013019.1_from_3_to_4351861_total_4351859_119	EC:4.6.1.12
