sequence_ID	prediction
CP013019.1_from_3_to_4351861_total_4351859_257	EC:1.3.7.1
CP013019.1_from_3_to_4351861_total_4351859_337	EC:3.2.1.93
CP013019.1_from_3_to_4351861_total_4351859_355	EC:2.4.1.10
CP013019.1_from_3_to_4351861_total_4351859_540	EC:2.4.1.10
CP013019.1_from_3_to_4351861_total_4351859_1072	EC:1.3.8.1
CP013019.1_from_3_to_4351861_total_4351859_1391	EC:2.3.3.14
CP013019.1_from_3_to_4351861_total_4351859_2059	EC:3.6.1.3
CP013019.1_from_3_to_4351861_total_4351859_2104	EC:1.4.7.1
CP013019.1_from_3_to_4351861_total_4351859_2229	EC:4.2.1.28
CP013019.1_from_3_to_4351861_total_4351859_2298	EC:3.2.1.17
CP013019.1_from_3_to_4351861_total_4351859_2485	EC:7.1.1.-
CP013019.1_from_3_to_4351861_total_4351859_2487	EC:7.1.1.-
CP013019.1_from_3_to_4351861_total_4351859_2808	EC:1.3.8.1
CP013019.1_from_3_to_4351861_total_4351859_2997	EC:2.7.1.50
CP013019.1_from_3_to_4351861_total_4351859_3094	EC:1.4.1.11
CP013019.1_from_3_to_4351861_total_4351859_3109	EC:3.2.1.10
CP013019.1_from_3_to_4351861_total_4351859_3127	EC:2.7.1.11
CP013019.1_from_3_to_4351861_total_4351859_3382	EC:1.12.1.3
CP013019.1_from_3_to_4351861_total_4351859_3392	EC:2.5.1.-
CP013019.1_from_3_to_4351861_total_4351859_3563	EC:2.7.1.191
CP006721.1_from_8_to_5107802_total_5107795_139	EC:2.7.14.1
CP006721.1_from_8_to_5107802_total_5107795_3998	EC:1.3.8.1
CP006721.1_from_8_to_5107802_total_5107795_4346	EC:2.7.1.191
CP003065.1_from_4819375_to_4830483_total_11109_9	EC:2.5.1.101
CP003040.1_from_1_to_3592125_total_3592125_2950	EC:3.1.26.3
CP001107.1_from_596695_to_802425_total_205731_74	EC:1.3.8.1
CP017116.1_from_4_to_1778047_total_1778044_46	EC:3.5.4.12
CP017116.1_from_4_to_1778047_total_1778044_1021	EC:6.4.1.1
AP009256.1_from_55948_to_2089636_total_2033689_42	EC:3.5.2.9
AP009256.1_from_55948_to_2089636_total_2033689_282	EC:3.2.1.156
AP009256.1_from_55948_to_2089636_total_2033689_1054	EC:3.2.1.78
AP009256.1_from_55948_to_2089636_total_2033689_1299	EC:3.6.3.-
CP000468.1_from_3_to_232734_total_232732_152	EC:7.2.2.16
CP000468.1_from_232742_to_5082018_total_4849277_138	EC:2.3.1.18
CP000468.1_from_232742_to_5082018_total_4849277_228	EC:7.6.2.2
CP000468.1_from_232742_to_5082018_total_4849277_513	EC:1.1.1.-;EC:1.1.1.237
CP000468.1_from_232742_to_5082018_total_4849277_988	EC:4.3.2.7
CP000468.1_from_232742_to_5082018_total_4849277_1243	EC:1.2.1.21;EC:1.2.1.22
CP000468.1_from_232742_to_5082018_total_4849277_1353	EC:4.2.1.-;EC:4.2.1.8
CP000468.1_from_232742_to_5082018_total_4849277_1894	EC:3.1.3.16
CP000468.1_from_232742_to_5082018_total_4849277_2455	EC:3.1.3.27
CP000468.1_from_232742_to_5082018_total_4849277_2622	EC:4.2.2.n1
CP000468.1_from_232742_to_5082018_total_4849277_2959	EC:2.5.1.101
CP000468.1_from_232742_to_5082018_total_4849277_3075	EC:3.6.1.25
CP000468.1_from_232742_to_5082018_total_4849277_3359	EC:2.7.7.n1
CP000468.1_from_232742_to_5082018_total_4849277_3441	EC:2.3.1.-;EC:2.3.1.53
CP000468.1_from_232742_to_5082018_total_4849277_3964	EC:2.7.1.202
CP000468.1_from_232742_to_5082018_total_4849277_4434	EC:2.7.7.7
AP009240.1_from_8_to_4887510_total_4887503_145	EC:7.2.2.16
AP009240.1_from_8_to_4887510_total_4887503_296	EC:1.2.99.6
AP009240.1_from_8_to_4887510_total_4887503_458	EC:7.6.2.2
AP009240.1_from_8_to_4887510_total_4887503_830	EC:1.1.1.-;EC:1.1.1.237
AP009240.1_from_8_to_4887510_total_4887503_1212	EC:4.3.2.7
AP009240.1_from_8_to_4887510_total_4887503_1426	EC:1.2.1.21;EC:1.2.1.22
AP009240.1_from_8_to_4887510_total_4887503_1456	EC:1.3.1.n3
AP009240.1_from_8_to_4887510_total_4887503_1970	EC:3.1.21.4;EC:3.6.4.-;EC:3.6.4.12
AP009240.1_from_8_to_4887510_total_4887503_2739	EC:3.1.3.27
AP009240.1_from_8_to_4887510_total_4887503_2838	EC:4.2.2.n1
AP009240.1_from_8_to_4887510_total_4887503_3483	EC:2.7.7.n1
AP009240.1_from_8_to_4887510_total_4887503_3493	EC:5.1.3.41
AP009240.1_from_8_to_4887510_total_4887503_3494	EC:2.7.1.218
AP009240.1_from_8_to_4887510_total_4887503_3807	EC:3.2.1.122
AP009240.1_from_8_to_4887510_total_4887503_3916	EC:3.1.6.-
AP009240.1_from_8_to_4887510_total_4887503_4075	EC:2.7.1.202
AP009240.1_from_8_to_4887510_total_4887503_4427	EC:3.5.1.11
AP009240.1_from_8_to_4887510_total_4887503_4457	EC:2.7.7.7
CP000112.1_from_2_to_1931662_total_1931661_68	EC:1.12.7.2
CP000112.1_from_2_to_1931662_total_1931661_306	EC:5.1.3.7
CP000112.1_from_2_to_1931662_total_1931661_704	EC:1.17.1.9
CP000112.1_from_2_to_1931662_total_1931661_942	EC:1.8.-.-
CP000112.1_from_2_to_1931662_total_1931661_1621	EC:1.1.1.298;EC:1.1.1.381
CP000112.1_from_1931672_to_3730213_total_1798542_241	EC:1.12.99.6
CP000112.1_from_1931672_to_3730213_total_1798542_242	EC:1.12.99.6
CP000112.1_from_1931672_to_3730213_total_1798542_244	EC:1.12.2.1
CP000112.1_from_1931672_to_3730213_total_1798542_245	EC:1.12.2.1
CP000112.1_from_1931672_to_3730213_total_1798542_457	EC:2.8.4.3
CP000112.1_from_1931672_to_3730213_total_1798542_613	EC:1.11.1.15
CP000112.1_from_1931672_to_3730213_total_1798542_1661	EC:2.4.2.21
CP000112.1_from_1931672_to_3730213_total_1798542_1662	EC:3.6.3.-
CP002297.1_from_722362_to_725983_total_3622_4	EC:4.99.1.3;EC:4.99.1.4
CP002297.1_from_2886551_to_2887746_total_1196_1	EC:1.8.99.5
CP009057.1_from_4_to_5444887_total_5444884_2281	EC:3.2.1.22;EC:3.2.1.n1;EC:3.2.1.n2
CP009057.1_from_4_to_5444887_total_5444884_2758	EC:2.7.1.33
CP009057.1_from_4_to_5444887_total_5444884_4154	EC:1.4.7.1
CP016440.1_from_2_to_4490370_total_4490369_319	EC:1.1.1.338
CP016440.1_from_2_to_4490370_total_4490369_344	EC:1.1.1.27
CP016440.1_from_2_to_4490370_total_4490369_1334	EC:5.3.3.18
CP016440.1_from_2_to_4490370_total_4490369_1520	EC:4.1.2.20
CP016440.1_from_2_to_4490370_total_4490369_1873	EC:3.5.1.128
CP016440.1_from_2_to_4490370_total_4490369_3435	EC:3.5.1.42
CP002118.1_from_1175354_to_1178686_total_3333_2	EC:1.6.3.4
CP002118.1_from_2562397_to_2566832_total_4436_5	EC:1.6.3.4
CP002118.1_from_2566855_to_2570625_total_3771_1	EC:1.15.1.2
CP002118.1_from_2831797_to_2839206_total_7410_3	EC:1.3.8.1
CP002118.1_from_3158331_to_3172611_total_14281_2	EC:1.11.1.1
CP002119.1_from_178401_to_183083_total_4683_1	EC:2.8.3.9
LT546645.1_from_327946_to_903512_total_575567_192	EC:1.5.-.-;EC:2.1.1.61
LT546645.1_from_2989155_to_3253943_total_264789_126	EC:2.6.1.52
LT546645.1_from_3254039_to_3428273_total_174235_115	EC:3.1.1.1
LT546645.1_from_3254039_to_3428273_total_174235_159	EC:7.2.2.7
LT546645.1_from_3428285_to_3799016_total_370732_74	EC:2.8.3.6
LT546645.1_from_3428285_to_3799016_total_370732_127	EC:3.5.1.128
LT546645.1_from_3799034_to_4132881_total_333848_279	EC:1.3.8.-
LT546645.1_from_4168883_to_4480107_total_311225_19	EC:4.3.1.27
